,Easting,Northing,Salazones amphora_ct,Salazones amphora_wt
150,531817.01,4385621.1,0.0,0.0
151,531922.25,4385619.54,0.0,0.0
152,531923.57,4385609.77,0.0,0.0
153,531924.64,4385600.68,0.0,0.0
154,531924.68,4385591.8,0.0,0.0
155,531925.66,4385582.7,0.0,0.0
156,531925.7,4385573.16,0.0,0.0
157,531925.4,4385563.39,0.0,0.0
158,531926.89,4385555.29,0.0,0.0
159,531991.22,4385607.28,0.0,0.0
160,531990.15,4385597.29,0.0,0.0
161,531989.84,4385588.18,0.0,0.0
162,531991.26,4385578.42,0.0,0.0
163,531989.66,4385570.87,0.0,0.0
164,531989.01,4385562.1,0.0,0.0
165,532115.22,4385614.01,0.0,0.0
166,532114.48,4385607.9,0.0,0.0
167,532114.35,4385597.58,0.0,0.0
168,532116.19,4385586.93,0.0,0.0
169,532113.4,4385577.04,0.0,0.0
170,532117.89,4385571.51,0.0,0.0
171,532115.97,4385558.08,0.0,0.0
172,532116.88,4385546.76,0.0,0.0
173,531849.57,4385635.55,0.0,0.0
174,531848.91,4385627.0,0.0,0.0
175,531850.06,4385619.01,0.0,0.0
176,531845.73,4385608.68,0.0,0.0
177,531845.34,4385599.57,0.0,0.0
178,531959.36,4385612.47,0.0,0.0
179,531964.2,4385602.4,0.0,0.0
180,531963.64,4385594.29,0.0,0.0
181,531963.85,4385585.08,0.0,0.0
182,531959.53,4385569.86,0.0,0.0
183,532106.89,4385614.75,0.0,0.0
184,532102.48,4385602.08,0.0,0.0
185,532101.67,4385592.42,0.0,0.0
186,532099.74,4385580.98,0.0,0.0
187,532097.71,4385573.65,0.0,0.0
188,532092.62,4385559.87,0.0,0.0
189,531883.76,4385628.7,0.0,0.0
190,531882.94,4385617.26,0.0,0.0
191,531881.78,4385607.94,0.0,0.0
192,531884.15,4385596.18,0.0,0.0
193,531882.81,4385586.52,0.0,0.0
194,531881.66,4385574.09,0.0,0.0
195,531884.19,4385565.22,0.0,0.0
196,531879.85,4385556.76,0.0,0.0
197,531970.87,4385609.08,0.0,0.0
198,531969.72,4385597.42,0.0,0.0
199,531967.19,4385586.09,0.0,0.0
200,531969.37,4385577.33,0.0,0.0
201,531969.07,4385568.68,0.0,0.0
202,532057.14,4385608.0,0.0,0.0
203,532056.15,4385598.67,0.0,0.0
204,532055.01,4385583.68,0.0,0.0
205,532054.71,4385572.36,0.0,0.0
206,532051.07,4385561.58,0.0,0.0
207,531901.21,4385621.89,0.0,0.0
208,531901.07,4385613.79,0.0,0.0
209,531898.45,4385605.01,0.0,0.0
210,531897.97,4385595.91,0.0,0.0
211,531897.58,4385585.36,0.0,0.0
212,531898.2,4385580.15,0.0,0.0
213,531893.61,4385570.03,0.0,0.0
214,531898.46,4385558.95,0.0,0.0
215,531897.3,4385551.07,0.0,0.0
216,531896.47,4385542.52,0.0,0.0
217,531938.01,4385563.77,0.0,0.0
218,531957.17,4385580.06,0.0,0.0
219,532072.41,4385610.61,0.0,0.0
220,532072.96,4385600.52,0.0,0.0
221,532070.95,4385588.41,0.0,0.0
222,532070.73,4385579.75,0.0,0.0
223,532070.6,4385569.1,0.0,0.0
224,531839.52,4385637.17,0.0,0.0
225,531840.67,4385627.74,0.0,0.0
226,531840.28,4385617.75,0.0,0.0
227,531841.44,4385608.32,0.0,0.0
228,531839.16,4385598.77,0.0,0.0
229,531946.47,4385615.09,0.0,0.0
230,531947.62,4385607.1,0.0,0.0
231,531947.15,4385596.11,0.0,0.0
232,531946.92,4385589.01,0.0,0.0
233,531946.96,4385579.46,0.0,0.0
234,531944.69,4385568.8,0.0,0.0
235,532048.37,4385611.07,0.0,0.0
236,532047.03,4385602.74,0.0,0.0
237,532046.3,4385592.64,0.0,0.0
238,532047.37,4385584.09,0.0,0.0
